Class;0.034198860037998734;0.3711340206185567;0.39;0.6855670103092784;0.3711340206185567;0.08323699421965318;0.03278688524590164;0.3711340206185567;0.6092076990801714;0.13189733589612357;35.06153846153846;0.36;0.431989097470187;0.0;0.1318812296157152;0.2422360248447205;21.24590163934426;0.512
Package;0.0;0.36;0.36;0.6799999999999999;0.36;0.0;0.03125;0.36;0.6;0.0;35.01538461538462;0.36;0.36;0.0;0.0;0.21951219512195122;20.25;0.5
NamedElement;0.0;0.36;0.36;0.6799999999999999;0.36;0.0;0.03125;0.36;0.6;0.0;35.01538461538462;0.36;0.36;0.0;0.0;0.21951219512195122;20.25;0.5
Property;0.0693196405648267;0.3829787234042553;0.42;0.6914893617021276;0.3829787234042553;0.1506276150627615;0.034482758620689655;0.3829787234042553;0.6188527477552761;0.18948418223996677;35.10769230769231;0.36;0.4664063144418267;0.0;0.18946756135759418;0.26582278481012656;22.344827586206897;0.5245901639344263
StrongReferences;0.8081841432225064;0.8461538461538461;0.91;0.8814102564102564;0.8461538461538461;0.8097373478539398;0.1981981981981982;0.00600377096358043;0.8807048459279793;0.8098412135034205;32.90769230769231;0.33;0.8950428574927171;0.1471698113207547;0.8174946616870578;0.8348623853211009;121.0;0.9072164948453609
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.75;0.125
EXAM-WC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.625;0.125;0.25;0.125;0.125;0.75;0.125
EXAM-AVG;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.25;0.125;0.125;0.75;0.125


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL3;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.875;0.125
OCL9;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.875;0.125
OCL12;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.75;0.125

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL3;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.75;0.125;0.125;0.125;0.125;0.875;0.125
OCL9;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.75;0.125;0.125;0.125;0.125;0.875;0.125
OCL12;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.625;0.125;0.25;0.125;0.125;0.75;0.125

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL3;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.4375;0.125;0.125;0.125;0.125;0.875;0.125
OCL9;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.4375;0.125;0.125;0.125;0.125;0.875;0.125
OCL12;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.25;0.125;0.125;0.75;0.125
